iterations,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000,
seanInserts,593,519,535,613,511,514,512,576,506,573,512,488,571,486,580,512,500,561,483,510,546,553,558,522,532,562,535,494,559,524,
seanWorstInserts,558,579,561,566,570,599,713,704,599,677,674,738,728,685,639,654,754,644,783,683,703,690,663,696,642,679,632,694,650,640,
seanRandomInserts,1108,1525,1652,1848,2045,2059,2178,2285,2283,2350,2433,2484,2482,2579,2569,2710,2642,2667,2805,2742,2838,2768,2886,2828,2927,2869,3028,2939,2926,2995,
seanAvgSearch,280,276,289,285,291,288,294,300,301,302,302,305,336,300,296,320,334,296,320,295,296,316,314,307,300,312,303,299,304,308,
seanSearchEnd,240,281,234,206,258,208,263,179,222,246,255,299,272,223,242,192,236,329,311,354,266,241,203,216,311,395,317,313,320,233,
seanDelete,192,194,194,196,201,194,195,196,196,195,196,195,204,207,207,195,197,195,205,205,203,203,250,212,208,206,205,209,202,203,
seanWorstDelete,298,313,311,332,313,326,324,318,323,317,331,323,335,334,331,335,348,326,362,331,335,335,334,342,335,328,334,329,337,350,
seanRandomDelete,773,1022,1173,1274,1362,1427,1501,1536,1613,1655,1703,1746,1766,1781,1831,1854,1885,1921,1946,1954,1983,2026,2024,2054,2061,2059,2070,2142,2131,2154,
zhenjlInserts,706,701,695,763,836,797,820,758,821,831,788,782,756,861,791,842,767,859,789,842,779,857,787,853,801,768,804,837,850,842,
zhenjlWorstInserts,1170,1163,1222,1164,1203,1254,1291,1321,1348,1296,1350,1401,1475,1358,1332,1306,1392,1339,1337,1368,1356,1468,1317,1397,1437,1408,1441,1451,1417,1386,
zhenjlRandomInserts,1946,2357,2712,2891,3074,3254,3427,3707,3702,3955,3927,4017,4169,4219,4234,4256,4417,4349,4443,4549,4510,4726,4641,4678,4768,4742,4889,4860,4829,4926,
zhenjlAvgSearch,2250,2229,2266,2308,2320,2571,2367,2342,2424,2422,2373,2422,2398,2478,2515,2437,2499,2459,2404,2444,2537,2453,2584,2483,2412,2486,2443,2446,2461,2550,
zhenjlSearchEnd,1090,963,1236,1763,1560,1708,1547,1445,1780,1590,1127,1226,1592,1403,1566,2019,1687,1432,1809,1321,2269,1702,1490,1345,1210,1437,1651,1526,1525,1545,
zhenjlDelete,1234,1526,1459,1521,1494,1485,1459,1468,1530,1526,1495,1468,1471,1477,1525,1528,1480,1534,1525,1540,1488,1551,1573,1507,1533,1529,1520,1496,1493,1541,
zhenjlWorstDelete,1005,1183,1255,1248,1255,1215,1231,1238,1250,1263,1264,1215,1231,1231,1211,1268,1223,1247,1253,1258,1260,1235,1244,1248,1217,1262,1267,1240,1232,1257,
zhenjlRandomDelete,2689,2998,3231,3332,3534,3608,3703,3789,3926,3970,3973,4092,4082,4167,4733,4267,4314,4340,4393,4390,4505,4464,4487,4513,4605,4619,4625,4630,4726,4703,
mtchavezInserts,1009,958,964,1050,949,981,995,1014,933,1055,978,1013,916,1019,976,971,999,999,963,976,1018,956,1010,999,947,1026,1019,943,1023,962,
mtchavezWorstInserts,830,803,1123,1064,1025,1066,1099,1013,1071,1041,1055,1085,1054,1091,1030,1106,1090,1013,1076,1115,1023,1091,1124,1027,1070,1049,1085,1087,1113,1055,
